Day of simulation;Date;Treatment;Measurement type;Unit;Depth;Value;Variance
0;15.03.1995;CT;Microbial C;kg C ha-1;0 - 15 cm;337.7775;2200.556907
28;12.04.1995;CT;Microbial C;kg C ha-1;0 - 15 cm;41.76;2200.556907
55;09.05.1995;CT;Microbial C;kg C ha-1;0 - 15 cm;78.735;2200.556907
182;13.09.1995;CT;Microbial C;kg C ha-1;0 - 15 cm;215.1075;2200.556907
396;14.04.1996;CT;Microbial C;kg C ha-1;0 - 15 cm;69.02037131;2200.556907
410;28.04.1996;CT;Microbial C;kg C ha-1;0 - 15 cm;96.3607551;2200.556907
438;26.05.1996;CT;Microbial C;kg C ha-1;0 - 15 cm;97.2910583;2200.556907
494;21.07.1996;CT;Microbial C;kg C ha-1;0 - 15 cm;155.5893677;2200.556907
564;29.09.1996;CT;Microbial C;kg C ha-1;0 - 15 cm;60.12732394;2200.556907
756;09.04.1997;CT;Microbial C;kg C ha-1;0 - 15 cm;73.97712348;2200.556907
773;26.04.1997;CT;Microbial C;kg C ha-1;0 - 15 cm;205.7606444;2200.556907
786;09.05.1997;CT;Microbial C;kg C ha-1;0 - 15 cm;87.62988874;2200.556907
817;09.06.1997;CT;Microbial C;kg C ha-1;0 - 15 cm;139.4354866;2200.556907
873;04.08.1997;CT;Microbial C;kg C ha-1;0 - 15 cm;217.134259;2200.556907
943;13.10.1997;CT;Microbial C;kg C ha-1;0 - 15 cm;62.35203764;2200.556907
1491;14.04.1999;CT;Microbial C;kg C ha-1;0 - 15 cm;156.971925;2200.556907
1519;12.05.1999;CT;Microbial C;kg C ha-1;0 - 15 cm;141.4968;2200.556907
1547;09.06.1999;CT;Microbial C;kg C ha-1;0 - 15 cm;74.96355;2200.556907
1603;04.08.1999;CT;Microbial C;kg C ha-1;0 - 15 cm;207.3413;2200.556907
1673;13.10.1999;CT;Microbial C;kg C ha-1;0 - 15 cm;236.65595;2200.556907
3323;19.04.2004;CT;Microbial C;kg C ha-1;0 - 15 cm;87.5365;2200.556907
3337;03.05.2004;CT;Microbial C;kg C ha-1;0 - 15 cm;83.23725;2200.556907
3351;17.05.2004;CT;Microbial C;kg C ha-1;0 - 15 cm;109.0835;2200.556907
3378;13.06.2004;CT;Microbial C;kg C ha-1;0 - 15 cm;47.39325;2200.556907
3435;09.08.2004;CT;Microbial C;kg C ha-1;0 - 15 cm;94.08325;2200.556907
3504;17.10.2004;CT;Microbial C;kg C ha-1;0 - 15 cm;169.9255;2200.556907
4414;15.04.2007;CT;Microbial C;kg C ha-1;0 - 15 cm;117.5015645;2200.556907
4421;22.04.2007;CT;Microbial C;kg C ha-1;0 - 15 cm;151.8794363;2200.556907
4428;29.04.2007;CT;Microbial C;kg C ha-1;0 - 15 cm;113.0288499;2200.556907
4442;13.05.2007;CT;Microbial C;kg C ha-1;0 - 15 cm;87.66323521;2200.556907
4470;10.06.2007;CT;Microbial C;kg C ha-1;0 - 15 cm;103.5436652;2200.556907
4526;05.08.2007;CT;Microbial C;kg C ha-1;0 - 15 cm;123.9167861;2200.556907
4595;13.10.2007;CT;Microbial C;kg C ha-1;0 - 15 cm;133.8355748;2200.556907
6240;14.04.2012;CT;Microbial C;kg C ha-1;0 - 15 cm;76.02844962;2200.556907
6247;21.04.2012;CT;Microbial C;kg C ha-1;0 - 15 cm;60.66789768;2200.556907
6254;28.04.2012;CT;Microbial C;kg C ha-1;0 - 15 cm;90.95910516;2200.556907
6296;09.06.2012;CT;Microbial C;kg C ha-1;0 - 15 cm;151.7607794;2200.556907
6352;04.08.2012;CT;Microbial C;kg C ha-1;0 - 15 cm;55.37150817;2200.556907
6422;13.10.2012;CT;Microbial C;kg C ha-1;0 - 15 cm;123.2530685;2200.556907
6513;12.01.2013;CT;Microbial C;kg C ha-1;0 - 15 cm;60.14393493;2200.556907
0;15.03.1995;DP;Microbial C;kg C ha-1;0 - 15 cm;337.7775;2200.556907
14;29.03.1995;DP;Microbial C;kg C ha-1;0 - 15 cm;174.2175;2200.556907
28;12.04.1995;DP;Microbial C;kg C ha-1;0 - 15 cm;71.1225;2200.556907
55;09.05.1995;DP;Microbial C;kg C ha-1;0 - 15 cm;233.3775;2200.556907
111;04.07.1995;DP;Microbial C;kg C ha-1;0 - 15 cm;121.365;2200.556907
182;13.09.1995;DP;Microbial C;kg C ha-1;0 - 15 cm;175.0875;2200.556907
396;14.04.1996;DP;Microbial C;kg C ha-1;0 - 15 cm;94.46921416;2200.556907
410;28.04.1996;DP;Microbial C;kg C ha-1;0 - 15 cm;107.1790111;2200.556907
438;26.05.1996;DP;Microbial C;kg C ha-1;0 - 15 cm;84.23596931;2200.556907
494;21.07.1996;DP;Microbial C;kg C ha-1;0 - 15 cm;227.7560467;2200.556907
564;29.09.1996;DP;Microbial C;kg C ha-1;0 - 15 cm;59.11855998;2200.556907
756;09.04.1997;DP;Microbial C;kg C ha-1;0 - 15 cm;109.6117479;2200.556907
773;26.04.1997;DP;Microbial C;kg C ha-1;0 - 15 cm;249.8008696;2200.556907
786;09.05.1997;DP;Microbial C;kg C ha-1;0 - 15 cm;73.89398069;2200.556907
873;04.08.1997;DP;Microbial C;kg C ha-1;0 - 15 cm;205.0966724;2200.556907
943;13.10.1997;DP;Microbial C;kg C ha-1;0 - 15 cm;100.0836879;2200.556907
1121;09.04.1998;DP;Microbial C;kg C ha-1;0 - 15 cm;133.17525;2200.556907
1308;13.10.1998;DP;Microbial C;kg C ha-1;0 - 15 cm;217.123;2200.556907
1491;14.04.1999;DP;Microbial C;kg C ha-1;0 - 15 cm;173.2072125;2200.556907
1519;12.05.1999;DP;Microbial C;kg C ha-1;0 - 15 cm;177.783775;2200.556907
1547;09.06.1999;DP;Microbial C;kg C ha-1;0 - 15 cm;144.4258;2200.556907
1603;04.08.1999;DP;Microbial C;kg C ha-1;0 - 15 cm;144.964475;2200.556907
1673;13.10.1999;DP;Microbial C;kg C ha-1;0 - 15 cm;130.91325;2200.556907
3323;19.04.2004;DP;Microbial C;kg C ha-1;0 - 15 cm;153.73625;2200.556907
3337;03.05.2004;DP;Microbial C;kg C ha-1;0 - 15 cm;119.0885;2200.556907
3351;17.05.2004;DP;Microbial C;kg C ha-1;0 - 15 cm;145.5945;2200.556907
3378;13.06.2004;DP;Microbial C;kg C ha-1;0 - 15 cm;78.00275;2200.556907
3435;09.08.2004;DP;Microbial C;kg C ha-1;0 - 15 cm;171.999;2200.556907
3504;17.10.2004;DP;Microbial C;kg C ha-1;0 - 15 cm;123.43125;2200.556907
4414;15.04.2007;DP;Microbial C;kg C ha-1;0 - 15 cm;241.3304556;2200.556907
4421;22.04.2007;DP;Microbial C;kg C ha-1;0 - 15 cm;230.1171193;2200.556907
4428;29.04.2007;DP;Microbial C;kg C ha-1;0 - 15 cm;266.7790772;2200.556907
4442;13.05.2007;DP;Microbial C;kg C ha-1;0 - 15 cm;180.9811582;2200.556907
4470;10.06.2007;DP;Microbial C;kg C ha-1;0 - 15 cm;201.5813425;2200.556907
4526;05.08.2007;DP;Microbial C;kg C ha-1;0 - 15 cm;212.2368211;2200.556907
4595;13.10.2007;DP;Microbial C;kg C ha-1;0 - 15 cm;341.9701992;2200.556907
6240;14.04.2012;DP;Microbial C;kg C ha-1;0 - 15 cm;126.8653317;2200.556907
6247;21.04.2012;DP;Microbial C;kg C ha-1;0 - 15 cm;74.48407844;2200.556907
6254;28.04.2012;DP;Microbial C;kg C ha-1;0 - 15 cm;197.7470455;2200.556907
6268;12.05.2012;DP;Microbial C;kg C ha-1;0 - 15 cm;64.30777557;2200.556907
6296;09.06.2012;DP;Microbial C;kg C ha-1;0 - 15 cm;231.4208924;2200.556907
6352;04.08.2012;DP;Microbial C;kg C ha-1;0 - 15 cm;205.7229896;2200.556907
6422;13.10.2012;DP;Microbial C;kg C ha-1;0 - 15 cm;241.8497708;2200.556907
6513;12.01.2013;DP;Microbial C;kg C ha-1;0 - 15 cm;236.9975394;2200.556907
0;15.03.1995;GN;Microbial C;kg C ha-1;0 - 15 cm;337.7775;2200.556907
14;29.03.1995;GN;Microbial C;kg C ha-1;0 - 15 cm;110.7075;2200.556907
28;12.04.1995;GN;Microbial C;kg C ha-1;0 - 15 cm;130.2825;2200.556907
55;09.05.1995;GN;Microbial C;kg C ha-1;0 - 15 cm;161.1675;2200.556907
111;04.07.1995;GN;Microbial C;kg C ha-1;0 - 15 cm;87.435;2200.556907
182;13.09.1995;GN;Microbial C;kg C ha-1;0 - 15 cm;302.1075;2200.556907
396;14.04.1996;GN;Microbial C;kg C ha-1;0 - 15 cm;66.52280208;2200.556907
410;28.04.1996;GN;Microbial C;kg C ha-1;0 - 15 cm;207.338312;2200.556907
438;26.05.1996;GN;Microbial C;kg C ha-1;0 - 15 cm;116.3963493;2200.556907
494;21.07.1996;GN;Microbial C;kg C ha-1;0 - 15 cm;101.922468;2200.556907
564;29.09.1996;GN;Microbial C;kg C ha-1;0 - 15 cm;120.187159;2200.556907
756;09.04.1997;GN;Microbial C;kg C ha-1;0 - 15 cm;160.7198611;2200.556907
773;26.04.1997;GN;Microbial C;kg C ha-1;0 - 15 cm;233.8504662;2200.556907
786;09.05.1997;GN;Microbial C;kg C ha-1;0 - 15 cm;85.06939026;2200.556907
873;04.08.1997;GN;Microbial C;kg C ha-1;0 - 15 cm;265.8260465;2200.556907
