Date;Day;mean_temp_7.5cm;Simulated_WC_theta;Simulated leaching [mm];pF_from_theta
01.03.1995;1;29.70;0.1371;0.6455;1.79845
02.03.1995;2;30.20;0.1257;0.6301;1.81946
03.03.1995;3;29.75;0.1164;0.6154;1.84098
04.03.1995;4;27.45;0.1088;0.6012;1.86315
05.03.1995;5;28.25;0.1037;0.5876;1.88066
06.03.1995;6;29.40;0.0996;0.5745;1.89701
07.03.1995;7;31.00;0.0959;0.5619;1.91330
08.03.1995;8;32.10;0.0924;0.5497;1.93066
09.03.1995;9;33.10;0.0885;0.5380;1.95430
10.03.1995;10;34.15;0.0846;0.5266;1.98594
11.03.1995;11;34.70;0.0807;0.5157;2.03796
12.03.1995;12;35.50;0.0784;0.5052;2.06475
13.03.1995;13;35.50;0.0769;0.4950;2.07642
14.03.1995;14;35.05;0.0758;0.4852;2.08565
15.03.1995;15;34.90;0.0748;0.4709;2.09322
16.03.1995;16;35.10;0.0740;0.4665;2.10044
17.03.1995;17;35.50;0.0734;0.4576;2.10680
18.03.1995;18;34.80;0.0728;0.4490;2.11248
19.03.1995;19;31.75;0.0723;0.4406;2.11811
20.03.1995;20;32.05;0.0733;0.4325;2.07025
21.03.1995;21;33.05;0.0718;0.4247;2.11688
22.03.1995;22;32.25;0.0712;0.4171;2.12835
23.03.1995;23;34.55;0.0708;0.4097;2.13391
24.03.1995;24;35.05;0.0705;0.4025;2.13841
25.03.1995;25;31.40;0.0749;0.3955;2.04527
26.03.1995;26;28.40;0.1589;0.3888;1.88244
27.03.1995;27;31.15;0.1391;0.3822;1.85341
28.03.1995;28;33.35;0.1254;0.3758;1.84927
29.03.1995;29;31.50;0.1162;0.3696;1.85740
30.03.1995;30;31.10;0.2064;0.3636;1.73224
31.03.1995;31;32.65;0.1531;0.3577;1.74302
01.04.1995;32;34.40;0.1328;0.3520;1.78482
02.04.1995;33;34.40;0.1213;0.3465;1.81667
03.04.1995;34;32.50;0.1131;0.3411;1.84279
04.04.1995;35;31.35;0.1131;0.3359;1.84896
05.04.1995;36;30.10;0.1299;0.3308;1.82759
06.04.1995;37;33.15;0.1227;0.3259;1.83905
07.04.1995;38;33.70;0.1152;0.3212;1.85364
08.04.1995;39;31.20;0.1449;0.3166;1.81170
09.04.1995;40;32.85;0.1324;0.3122;1.81893
10.04.1995;41;34.95;0.1219;0.3080;1.83316
11.04.1995;42;35.90;0.1139;0.3040;1.85078
12.04.1995;43;35.10;0.1074;0.3003;1.86977
13.04.1995;44;35.55;0.1026;0.2968;1.88662
14.04.1995;45;36.15;0.0977;0.2936;1.90602
15.04.1995;46;37.65;0.0934;0.2907;1.92620
16.04.1995;47;38.10;0.0892;0.2882;1.95018
17.04.1995;48;34.20;0.0853;0.2860;1.97986
18.04.1995;49;33.25;0.1216;0.2843;1.87675
19.04.1995;50;35.75;0.1171;0.2830;1.87786
20.04.1995;51;33.80;0.1109;0.2822;1.88630
21.04.1995;52;33.45;0.1062;0.2819;1.89473
22.04.1995;53;34.85;0.1239;0.2822;1.86364
23.04.1995;54;37.35;0.1171;0.2830;1.87042
24.04.1995;55;37.40;0.1098;0.2846;1.88242
25.04.1995;56;36.30;0.1036;0.2869;1.89670
26.04.1995;57;34.65;0.0994;0.2903;1.90904
27.04.1995;58;35.40;0.0958;0.2952;1.92192
28.04.1995;59;35.10;0.0926;0.3021;1.93556
29.04.1995;60;35.25;0.0896;0.3120;1.95040
30.04.1995;61;36.35;0.0866;0.3264;1.96821
01.05.1995;62;35.80;0.0837;0.3472;1.99001
02.05.1995;63;35.25;0.0894;0.3766;1.95208
03.05.1995;64;35.50;0.0870;0.4164;1.96451
04.05.1995;65;33.30;0.0844;0.4675;1.98048
05.05.1995;66;29.40;0.1758;0.5287;1.82865
06.05.1995;67;31.85;0.1513;0.5965;1.79649
07.05.1995;68;34.45;0.1332;0.6654;1.80377
08.05.1995;69;33.45;0.1221;0.7300;1.82423
09.05.1995;70;32.35;0.1343;0.7858;1.81009
10.05.1995;71;29.95;0.1255;0.8305;1.82525
11.05.1995;72;28.85;0.1999;0.8636;1.72620
12.05.1995;73;29.40;0.1525;0.8860;1.74400
13.05.1995;74;29.25;0.1340;0.8990;1.78254
14.05.1995;75;28.85;0.1237;0.9045;1.81147
15.05.1995;76;30.15;0.1938;0.9039;1.72520
16.05.1995;77;32.25;0.1508;0.8986;1.74797
17.05.1995;78;33.60;0.1332;0.8900;1.78500
18.05.1995;79;32.15;0.1223;0.8788;1.81491
19.05.1995;80;33.05;0.1151;0.8658;1.83786
20.05.1995;81;34.25;0.1096;0.8515;1.85740
21.05.1995;82;34.35;0.1070;0.8365;1.86902
22.05.1995;83;35.00;0.1028;0.8210;1.88533
